ACC,No,NS
PRIMA COMPUTINDO,VEBA000039,PRIMA COMPUTINDO
DATA ACOMINDO MITRAUSAHA PT,VEBA000040,DATA ACOMINDO MITRAUSAHA PT
ALPINECOOL MANDIRI TEHNIK,VEBA000041,ALPINECOOL MANDIRI TEHNIK
VST,VEBA000042,VST
AROFA UD,VEBA000043,AROFA UD
JAYA UTAMA BEARINGS PT,VEBA000044,JAYA UTAMA BEARINGS PT
ABADI GEMILANG PERKASA PT,VEBA000045,ABADI GEMILANG PERKASA PT
INDO ELECTRIC,VEBA000046,INDO ELECTRIC
PINGUIN COMPUTER,VEBA000047,PINGUIN COMPUTER
BINA GUNA,VEBA000048,BINA GUNA
JAVA TEKNIK CV,VEBA000049,JAVA TEKNIK CV
SEJAHTERA GEMILANG CV,VEBA000050,SEJAHTERA GEMILANG CV
GUNTUR UD,VEBA000051,GUNTUR UD
PRINTER INK GALLERY,VEBA000052,PRINTER INK GALLERY
RAMA SAKTI MANDIRI,VEBA000053,RAMA SAKTI MANDIRI
VISTA BATTERY,VEBA000054,VISTA BATTERY
SINAR GEMILANG,VEBA000055,SINAR GEMILANG
AHWIL,VEBA000056,AHWIL
"REFRIGERASI INDO TAMA, PT",VEBA000057,"REFRIGERASI INDO TAMA, PT"
MANSUR UD,VEBA000058,MANSUR UD
UNTUNG TEKNIK,VEBA000059,UNTUNG TEKNIK
NAGA MAS,VEBA000060,NAGA MAS
"SAHABAT II, UD",VEBA000061,"SAHABAT II, UD"
SOLUTION - SURABAYA,VEBA000062,SOLUTION - SURABAYA
BRATACO CHEMIKA . PT,VEBA000063,BRATACO CHEMIKA . PT
NORTON SHOWROOM,VEBA000064,NORTON SHOWROOM
WARNA JAYA TOKO,VEBA000065,WARNA JAYA TOKO
KURNIA MULIA CITRA LESTARI PT,VEBA000066,KURNIA MULIA CITRA LESTARI PT
HW ELEKTRINDO,VEBA000067,HW ELEKTRINDO
